genome_name	genome_fpath	batch	barcode	genus	read_filename	subreadset_xml_fpath
batch3_bc1008_flye_ccs_contig_1_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1008_flye_ccs_contig_1_Prochlorococcus_C.fasta	batch3	bc1008	Prochlorococcus	demux_subreadset.bc1008--bc1008.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1008--bc1008.subreadset.xml
batch3_bc1009_metaflye_ccs_contig_1_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1009_metaflye_ccs_contig_1_Prochlorococcus_C.fasta	batch3	bc1009	Prochlorococcus	demux_subreadset.bc1009--bc1009.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1009--bc1009.subreadset.xml
batch3_bc1011_metaflye_ccs_contig_15_Synechococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1011_metaflye_ccs_contig_15_Synechococcus_C.fasta	batch3	bc1011	Synechococcus	demux_subreadset.bc1011--bc1011.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1011--bc1011.subreadset.xml
batch3_bc1012_metaflye_ccs_contig_111_Synechococcus_C_sp002687115	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch3_bc1012_metaflye_ccs_contig_111_Synechococcus_C_sp002687115.fasta	batch3	bc1012	Synechococcus	demux_subreadset.bc1012--bc1012.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch3/1/lima_demux/demux_subreadset.bc1012--bc1012.subreadset.xml
batch4_bc1016_metaflye_ccs_contig_37_Prochlorococcus_A_marinus_N	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1016_metaflye_ccs_contig_37_Prochlorococcus_A_marinus_N.fasta	batch4	bc1016	Prochlorococcus	demux_subreadset.bc1016--bc1016.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1016--bc1016.subreadset.xml
batch4_bc1017_metaflye_subreadset_contig_21_Marinobacter	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1017_metaflye_subreadset_contig_21_Marinobacter.fasta	batch4	bc1017	Marinobacter	demux_subreadset.bc1017--bc1017.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1017--bc1017.subreadset.xml
batch4_bc1017_metaflye_ccs_contig_27_Prochlorococcus_A_marinus_M	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1017_metaflye_ccs_contig_27_Prochlorococcus_A_marinus_M.fasta	batch4	bc1017	Prochlorococcus	demux_subreadset.bc1017--bc1017.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1017--bc1017.subreadset.xml
batch4_bc1018_metaflye_subreadset_contig_49_Prochlorococcus_A_marinus_B	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1018_metaflye_subreadset_contig_49_Prochlorococcus_A_marinus_B.fasta	batch4	bc1018	Prochlorococcus	demux_subreadset.bc1018--bc1018.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1018--bc1018.subreadset.xml
batch4_bc1019_metaflye_ccs_contig_11_Prochlorococcus_C_sp000760295	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1019_metaflye_ccs_contig_11_Prochlorococcus_C_sp000760295.fasta	batch4	bc1019	Prochlorococcus	demux_subreadset.bc1019--bc1019.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1019--bc1019.subreadset.xml
batch4_bc1020_metaflye_subreadset_contig_368_Prochlorococcus_C_sp000760295	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1020_metaflye_subreadset_contig_368_Prochlorococcus_C_sp000760295.fasta	batch4	bc1020	Prochlorococcus	demux_subreadset.bc1020--bc1020.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1020--bc1020.subreadset.xml
